No,Category,Subcategory,Brand,Product_Name,Price_VND,Reviews,Rating,Fragrance_Type,Claim,Platform,Brand_Origin,Price_Tier,Brand_Status,Product_Category
1.0,Personal Care Fragrance,Shampoo,Salonkey,Salonkey Shampoo & Conditioner 2000ml,138000.0,10400.0,4.4,Fresh / Clean,"Repair, Oil Control, Anti-frizz, Moisturizing, Salon-inspired",Tiktok shop,Local,Affordable Premium,Emerging,Shampoo
2.0,Personal Care Fragrance,Shampoo,Giot Lanh,Giot Lanh Vegan Herbal Shampoo (500ml),250000.0,9900.0,4.8,Herbal,"Vegan, Herbal Care, Gentle Cleansing, Scalp Soothing, Natural-based",Tiktok shop,Local,Affordable Premium,Emerging,Shampoo
3.0,Personal Care Fragrance,Shampoo,Nguyen Xuan,Nguyen Xuan Green Medicinal Shampoo – Hair Nourishing (400g),194000.0,9300.0,4.8,Herbal,"Hair Nourishing, Scalp Care, Strengthening, Herbal Care, Anti-hair fall support",Tiktok shop,Local,Mass,Emerging,Shampoo
4.0,Personal Care Fragrance,Shampoo,I-Care Pharma,Antisol Anti-Dandruff Shampoo,283000.0,38500.0,4.8,Fresh / Clean,"Anti-dandruff, Scalp cleansing, Oil control, Soothing, Itch relief",Tiktok shop,Local,Affordable Premium,Emerging,Shampoo
5.0,Personal Care Fragrance,Shampoo,Nguyen Xuan,Nguyen Xuân Anti-Dandruff Medicinal Shampoo (260g),182000.0,987.0,4.8,Herbal / Fresh,"Anti-dandruff, Itch relief, Scalp cleansing, Medicinal care, Oil control",Tiktok shop,Local,Mass,Emerging,Shampoo
6.0,Personal Care Fragrance,Shampoo,Clear,Clear Men Thailand Shampoo Combo (2 x 360ml),315000.0,2300.0,4.7,Fresh / Clean,"Anti-dandruff, Oil control, Scalp care, Cooling, Men’s scalp health",Tiktok shop,International,Mass,Established,Shampoo
7.0,Personal Care Fragrance,Shampoo,L'Oréal Paris,L'Oréal Paris Extraordinary Oil Smooth Shampoo (440ml),289.0,2100.0,4.7,"Floral, Sweet / Gourmand","Nourishing, Smoothening, Hair repair, Frizz control, Soft shine",Tiktok shop,International,Mass,Established,Shampoo
8.0,Personal Care Fragrance,Shampoo,Adolph,Adolph Essential Oil Scented Shampoo (248ml),250000.0,61.0,4.5,"Floral, Sweet / Gourmand, Fresh / Clean","Frizz control, Anti-dryness, Hair fall reduction, Oil control, Smooth & shiny hair, Long-lasting fragrance",Tiktok shop,International,Affordable Premium,Established,Shampoo
9.0,Personal Care Fragrance,Shampoo,L'Oréal Paris,Elseve Full Resist Shampoo & Conditioner Duo (440ml),578000.0,3600.0,4.6,Fresh / Clean,"Anti-Hair Fall, Hair Strengthening, Salon-inspired",Tiktok shop,International,Affordable Premium,Established,Shampoo
10.0,Personal Care Fragrance,Shampoo,LILYSTAR,"Lilystar 2in1 Shampoo & Conditioner – Cleansing, Hair Nourishing & Volumizing (200ml)",100000.0,68900.0,4.5,Floral,"Long-lasting fragrance, Volumizing, Non-greasy hair, Hair nourishing",Tiktok shop,International,Mass,Emerging,Shampoo
11.0,Personal Care Fragrance,Shampoo,Nguyen Xuan,Nguyen Xuan Brown Medicinal Shampoo for Normal Hair (250ml),131000.0,138.0,4.9,Herbal,"Hair nourishing, Medicinal herbs",Tiktok shop,Local,Mass,Established,Shampoo
12.0,Personal Care Fragrance,Shampoo,BLEMIL,Blemil Damage Repair & Smoothing Shampoo & Conditioner Duo Set (750ml x 2),1000000.0,2000.0,4.8,Floral,"Perfume-level scent, Long-lasting fragrance, Damage repair, Smoothing",Tiktok shop,Local,Premium,Emerging,Shampoo
13.0,Personal Care Fragrance,Shampoo,Weilaiya,Weilaiya Perfume Repair Series White Truffle Hair Nourishing Shampoo & Conditioner Set,1450000.0,150.0,4.7,Sweet / Gourmand,"Premium scent, Luxury fragrance, Perfume-level scent, Moisturizing",Tiktok shop,International,Premium,Established,Shampoo
14.0,Personal Care Fragrance,Shampoo,Salonkey,Salonkey Collagen Repair & Protect Shampoo(1000 ml),118000.0,3600.0,4.6,Floral,"Hair nourishing, Damage repair, Oil control, Smoothing",TikTok Shop,Local,Mass,Emerging,Shampoo
15.0,Personal Care Fragrance,Shampoo,Palmolive,Palmolive Naturals Ultra Smooth 2-in-1 Shampoo & Conditioner Aloe Vera & Olive Oil,144000.0,10700.0,4.7,Fresh / Clean,"Smoothing, Softening, Hair nourishing, Intense moisture",Tiktok shop,International,Mass,Established,Shampoo
16.0,Personal Care Fragrance,Shampoo,Palmolive,"Palmolive Naturals Long, Smooth & Strong 2-in-1 Shampoo & Conditioner Avocado Oil",144000.0,10700.0,4.7,Fruity,"Hair nourishing, Anti-breakage, Smoothing, Long-lasting fragrance",Tiktok shop,International,Mass,Established,Shampoo
17.0,Personal Care Fragrance,Shampoo,Palmolive,"Palmolive Naturals Shiny, Healthy & Beautiful 2-in-1 Shampoo & Conditioner Milk & Almond",144000.0,10700.0,4.7,Sweet / Gourmand,"Hair nourishing, Shine enhancement, Softening, Healthy look",Tiktok shop,International,Mass,Established,Shampoo
18.0,Personal Care Fragrance,Shampoo,Palmolive,Palmolive Naturals Intensive Moisture 2-in-1 Shampoo & Conditioner Coconut Cream,144000.0,10700.0,4.7,Sweet / Gourmand,"Intensive moisture, Hair nourishing, Softening, Long-lasting fragrance",Tiktok shop,International,Mass,Established,Shampoo
19.0,Personal Care Fragrance,Shampoo,Palmolive,Palmolive Naturals Silky Smooth & Shiny 2-in-1 Shampoo & Conditioner,144000.0,10700.0,4.7,Floral,"Smoothing, Shine enhancement, Hair nourishing, Softening",Tiktok shop,International,Mass,Established,Shampoo
20.0,Personal Care Fragrance,Shampoo,Palmolive,Palmolive Naturals Anti-Dandruff / Fresh Mint 2-in-1 Shampoo & Conditioner,144000.0,10700.0,4.7,Fresh / Clean,"Scalp purification, Cooling sensation, Anti-dandruff, Refreshing",TikTok Shop,International,Mass,Established,Shampoo
21.0,Personal Care Fragrance,Shampoo,Cocoon,Cocoon Pomelo Hair Care Combo (Pomelo Shampoo 310ml + Pomelo Hair Tonic 140ml),423000.0,256.0,4.7,Citrus,"Anti-hair fall, Softening, Hair nourishing",TikTok Shop,Local,Affordable Premium,Established,Shampoo
22.0,Personal Care Fragrance,Shampoo,TRESemmé,TRESemmé Salon Detox Shampoo with Ginger & Green Tea (850g),290000.0,465.0,4.8,Fresh / Clean,"Detoxification, Scalp purification, Hair nourishing, Refreshing",TikTok Shop,International,Affordable Premium,Established,Shampoo
23.0,Personal Care Fragrance,Shampoo,TRESemmé,TRESemmé Bond Repair Shampoo with Peptide Bond+ (850g),290000.0,465.0,4.8,Fresh / Clean,"Damage repair, Hair strengthening, Anti-breakage, Deeply nourishing",TikTok Shop,International,Affordable Premium,Established,Shampoo
24.0,Personal Care Fragrance,Shampoo,TRESemmé,TRESemmé Keratin Smooth Shampoo with KeratinBond+ (850g),290000.0,465.0,4.8,Fresh / Clean,"Anti-frizz, Smoothing, Softening, Long-lasting straightness",TikTok Shop,International,Affordable Premium,Established,Shampoo
25.0,Personal Care Fragrance,Shampoo,BLACK ROSE PROFESSIONAL,Black Rose Collagen Keratin Straightening Complex Shampoo (Black Variant - 2000ml),285000.0,1700.0,4.5,Floral,"Damage repair, Hair growth stimulation, Anti-dandruff, Oil control, Anti-frizz",TikTok Shop,International,Affordable Premium,Emerging,Shampoo
26.0,Personal Care Fragrance,Shampoo,THORAKAO,Thorakao Gleditsia Shampoo (Dầu gội Bồ Kết Thorakao - 750ml),123190.0,35000.0,4.9,Herbal,"Shiny black hair, Hair softening, Scalp health, Smoothness",Shopee,Local,Mass,Established,Shampoo
27.0,Personal Care Fragrance,Shampoo,THORAKAO,Thorakao 2-in-1 Gleditsia Shampoo & Conditioner (Gội Xả 2in1 Bồ Kết Thorakao - 400ml),115430.0,35000.0,4.9,Herbal,"2-in-1 formula, Hair nourishing, Smoothness, Shiny black hair, Anti-dandruff",Shopee,Local,Mass,Established,Shampoo
28.0,Personal Care Fragrance,Shampoo,Hachi,"Hachi Regenerating Grapefruit & Avocado Shampoo (Dầu Gội Hachi Regenerating Bưởi, Bơ - 350ml)",135000.0,2700.0,4.9,Fruity / Herbal,"Anti-hair fall, Hair regenerating, Hair strengthening, Deeply nourishing",Shopee,Local,Affordable Premium,Established,Shampoo
29.0,Personal Care Fragrance,Shampoo,Selsun,Selsun Anti-Dandruff Shampoo (100ml),99000.0,265000.0,4.9,Fresh / Clean,"Anti-dandruff, Anti-itch, Antifungal, Scalp clearing, Hair softening",Shopee,International,Mass,Established,Shampoo
30.0,Personal Care Fragrance,Shampoo,L'Oréal Paris,L'Oréal Paris Elseve Hyaluron Moisture 72H Moisture Filling Shampoo,188999.0,16000.0,4.9,Floral / Fruity,"72H hydration, Hair replumping/volumizing, Dry scalp care, Long-lasting moisture",Shopee,International,Affordable Premium,Established,Shampoo
